time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Concurrent GC.count,Jvm:G1 Concurrent GC.time,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2024-10-07 05:14:09.618 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,25393995776,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1728278049426, , , , ,3145728,1218, , , ,5,4,19,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,1,3,25733560,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-10-07 05:15:09.621 UTC, ,125,13992501,1208,10846648, , ,700, ,853723, , , , , , , , , ,700,14, , , ,305,1,4, ,3037, , , , , , , , , , , ,648349, , ,1218,1,573,573, , , , ,1266,25393995776,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1728278049426, , , , ,3145728,1368, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , ,2,1, , ,267,315,218298872,3, , , , , , , , , , ,4, ,17, , , , , , , , , , , , , , , , , , , , , , ,1487, ,55090, ,3028,638874,158587, , , , , , , 
2024-10-07 05:16:09.629 UTC, ,125,15224357,1208,12078504, , ,776, ,182253, , , , , , , , , ,776,15, , , ,291,1,4, ,1743, , , , , , , , , , , ,182202, , ,1218,1,573,573, , , , ,1266,25393995776,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1728278049426, , , , ,3145728,1368, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,115,133,164824848,3, , , , , , , , , , ,3, ,14, , , , , , , , , , , , , , , , , , , , , , ,850, ,8397, ,1734,97788,75814, , , , , , , 
2024-10-07 05:17:09.634 UTC, ,125,17601477,1208,14455624, , ,940, ,294748, , , , , , , , , ,940,18, , , ,262,1,4, ,4092, , , , , , , , , , , ,294608, , ,1218,1,573,573, , , , ,1266,25393995776,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1728278049426, , , , ,3145728,1368, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,137,172,249070976,3, , , , , , , , , , ,5, ,29, , , , , , , , , , , , , , , , , , , , , , ,2000, ,17090, ,4080,144466,132581, , , , , , , 
2024-10-07 05:18:09.642 UTC, ,125,18788245,1208,15642392, , ,1012, ,262578, , , , , , , , , ,1012,17, , , ,233,1,4, ,3480, , , , , , , , , , , ,262466, , ,1218,1,573,573, , , , ,1266,25393995776,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1728278049426, , , , ,3145728,1368, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,100,128,423995120,2, , , , , , , , , , ,3, ,28, , , , , , , , , , , , , , , , , , , , , , ,1700, ,9483, ,3468,157189,95418, , , , , , , 
2024-10-07 05:19:09.650 UTC, ,125,19203205,1208,16057352, , ,1041, ,219601, , , , , , , , , ,1041,17, , , ,207,1,4, ,3174, , , , , , , , , , , ,219497, , ,1218,1,573,573, , , , ,1266,25393995776,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1728278049426, , , , ,3145728,1368, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,42,59,588785688,2, , , , , , , , , , ,1, ,26, , , , , , , , , , , , , , , , , , , , , , ,1550, ,4693, ,3162,170517,44014, , , , , , , 
2024-10-07 05:20:09.652 UTC, ,125,19520237,1208,16374384, , ,1072, ,202864, , , , , , , , , ,1072,16, , , ,181,1,4, ,3480, , , , , , , , , , , ,202738, , ,1218,1,573,573, , , , ,1266,25393995776,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1728278049426, , , , ,3145728,1368, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,25,38,294662840,2, , , , , , , , , , ,3, ,25, , , , , , , , , , , , , , , , , , , , , , ,1700, ,4201, ,3468,166772,31445, , , , , , , 
2024-10-07 05:21:09.659 UTC, ,125,19583677,1208,16437824, , ,1089, ,188460, , , , , , , , , ,1089,16, , , ,157,1,4, ,3378, , , , , , , , , , , ,188340, , ,1218,1,573,573, , , , ,1266,25393995776,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1728278049426, , , , ,3145728,1368, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,18,29,212659608,2, , , , , , , , , , ,4, ,24, , , , , , , , , , , , , , , , , , , , , , ,1650, ,2752, ,3366,162933,22380, , , , , , , 
2024-10-07 05:22:09.666 UTC, ,125,19616501,1208,16470648, , ,1086, ,144265, , , , , , , , , ,1086,18, , , ,129,1,4, ,3480, , , , , , , , , , , ,144147, , ,1218,1,573,573, , , , ,1266,25393995776,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1728278049426, , , , ,3145728,1368, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,14,25,321897536,2, , , , , , , , , , ,3, ,28, , , , , , , , , , , , , , , , , , , , , , ,1700, ,2888, ,3468,121525,19468, , , , , , , 
2024-10-07 05:23:09.674 UTC, ,125,19702357,1208,16556504, , ,1092, ,165749, , , , , , , , , ,1092,17, , , ,103,1,4, ,3276, , , , , , , , , , , ,165659, , ,1218,1,573,573, , , , ,1266,25393995776,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1728278049426, , , , ,3145728,1368, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,15,25,345049616,2, , , , , , , , , , ,3, ,25, , , , , , , , , , , , , , , , , , , , , , ,1600, ,2951, ,3264,142649,19784, , , , , , , 
